municipio_ocurrencia,ano,semana,casos,fecha
PALMIRA,2007,1,8,2007-01-01
ULLOA,2007,1,1,2007-01-01
ANDALUCIA,2007,1,1,2007-01-01
CALI,2007,1,7,2007-01-01
CAICEDONIA,2007,1,1,2007-01-01
PRADERA,2007,1,2,2007-01-01
CARTAGO,2007,1,1,2007-01-01
LA UNION,2007,1,1,2007-01-01
ROLDANILLO,2007,2,2,2007-01-08
PALMIRA,2007,2,3,2007-01-08
TRUJILLO,2007,2,1,2007-01-08
RIOFRIO,2007,2,3,2007-01-08
PRADERA,2007,2,1,2007-01-08
ANDALUCIA,2007,2,1,2007-01-08
RIOFRIO,2007,3,2,2007-01-15
DAGUA,2007,3,2,2007-01-15
CALI,2007,3,3,2007-01-15
CALI,2007,4,4,2007-01-22
RIOFRIO,2007,4,2,2007-01-22
DAGUA,2007,4,1,2007-01-22
EL CAIRO,2007,5,2,2007-01-29
RIOFRIO,2007,5,1,2007-01-29
BUENAVENTURA,2007,5,1,2007-01-29
ROLDANILLO,2007,6,1,2007-02-05
PALMIRA,2007,6,1,2007-02-05
RIOFRIO,2007,6,2,2007-02-05
ZARZAL,2007,6,1,2007-02-05
RIOFRIO,2007,7,2,2007-02-12
TRUJILLO,2007,7,1,2007-02-12
CALI,2007,7,1,2007-02-12
TRUJILLO,2007,8,1,2007-02-19
ROLDANILLO,2007,8,1,2007-02-19
PALMIRA,2007,8,1,2007-02-19
CALI,2007,8,2,2007-02-19
PALMIRA,2007,9,4,2007-02-26
RIOFRIO,2007,9,1,2007-02-26
CARTAGO,2007,9,1,2007-02-26
ROLDANILLO,2007,9,1,2007-02-26
LA CUMBRE,2007,9,1,2007-02-26
DAGUA,2007,10,1,2007-03-05
TRUJILLO,2007,10,2,2007-03-05
LA UNION,2007,10,1,2007-03-05
PALMIRA,2007,10,3,2007-03-05
CALI,2007,10,2,2007-03-05
EL CERRITO,2007,10,1,2007-03-05
ANDALUCIA,2007,11,1,2007-03-12
ROLDANILLO,2007,11,3,2007-03-12
EL CERRITO,2007,11,1,2007-03-12
TRUJILLO,2007,11,1,2007-03-12
PALMIRA,2007,11,1,2007-03-12
RIOFRIO,2007,11,1,2007-03-12
CALI,2007,11,2,2007-03-12
RIOFRIO,2007,12,1,2007-03-19
CALI,2007,12,1,2007-03-19
SEVILLA,2007,12,1,2007-03-19
EL CERRITO,2007,12,1,2007-03-19
PRADERA,2007,12,1,2007-03-19
ROLDANILLO,2007,12,4,2007-03-19
DAGUA,2007,12,1,2007-03-19
PALMIRA,2007,12,5,2007-03-19
RIOFRIO,2007,13,1,2007-03-26
ROLDANILLO,2007,13,3,2007-03-26
CALI,2007,13,4,2007-03-26
PALMIRA,2007,14,15,2007-04-02
TRUJILLO,2007,14,1,2007-04-02
RIOFRIO,2007,14,1,2007-04-02
YUMBO,2007,14,1,2007-04-02
DAGUA,2007,14,1,2007-04-02
CALI,2007,14,3,2007-04-02
YUMBO,2007,15,1,2007-04-09
VERSALLES,2007,15,1,2007-04-09
CALI,2007,15,1,2007-04-09
GUACARI,2007,15,1,2007-04-09
BUGA,2007,16,1,2007-04-16
CALI,2007,16,4,2007-04-16
RIOFRIO,2007,16,1,2007-04-16
VERSALLES,2007,16,1,2007-04-16
GUACARI,2007,16,4,2007-04-16
ROLDANILLO,2007,17,2,2007-04-23
BUGA,2007,17,2,2007-04-23
CALI,2007,17,2,2007-04-23
SEVILLA,2007,17,1,2007-04-23
TRUJILLO,2007,17,1,2007-04-23
CALI,2007,18,4,2007-04-30
ROLDANILLO,2007,18,1,2007-04-30
BUENAVENTURA,2007,18,1,2007-04-30
EL CAIRO,2007,18,1,2007-04-30
BUGA,2007,18,4,2007-04-30
ULLOA,2007,18,13,2007-04-30
GUACARI,2007,18,1,2007-04-30
