municipio_ocurrencia,total_casos,semanas_datos,pico_semanal,anos_activos,carga_pct,carga_acum_pct
CALI,82598,586,834,12,68.4,68.4
PALMIRA,7680,548,101,12,6.4,74.8
TULUA,3532,505,58,12,2.9,77.7
CARTAGO,3493,474,61,12,2.9,80.6
BUGA,3111,478,43,12,2.6,83.2
YUMBO,2142,443,39,12,1.8,85.0
FLORIDA,1852,366,40,12,1.5,86.5
CANDELARIA,1593,347,21,11,1.3,87.8
BUENAVENTURA,1444,435,21,12,1.2,89.0
JAMUNDI,1298,360,24,11,1.1,90.1
LA UNION,1275,396,21,12,1.1,91.2
DAGUA,920,349,12,12,0.8,92.0
ROLDANILLO,868,275,42,12,0.7,92.7
PRADERA,848,303,16,12,0.7,93.4
EL CERRITO,744,286,12,12,0.6,94.0
ZARZAL,651,266,26,12,0.5,94.5
RIOFRIO,623,251,26,12,0.5,95.0
YOTOCO,581,174,20,11,0.5,95.5
SEVILLA,580,198,23,11,0.5,96.0
GUACARI,569,277,11,12,0.5,96.5
CAICEDONIA,553,244,11,12,0.5,97.0
BUGALAGRANDE,463,232,8,11,0.4,97.4
GINEBRA,351,195,7,11,0.3,97.7
ANSERMANUEVO,298,177,16,12,0.2,97.9
DARIEN,280,120,12,12,0.2,98.1
ALCALA,280,164,9,12,0.2,98.3
BOLIVAR,274,150,9,8,0.2,98.5
TRUJILLO,274,173,5,12,0.2,98.7
SAN PEDRO,261,148,10,11,0.2,98.9
TORO,227,114,9,11,0.2,99.1
VIJES,171,102,6,12,0.1,99.2
ANDALUCIA,166,114,8,10,0.1,99.3
ARGELIA,142,57,16,9,0.1,99.4
OBANDO,129,87,9,10,0.1,99.5
RESTREPO,124,99,3,11,0.1,99.6
VERSALLES,104,64,5,11,0.1,99.7
LA VICTORIA,89,66,5,7,0.1,99.8
ULLOA,74,45,13,7,0.1,99.9
EL AGUILA,65,54,3,9,0.1,100.0
EL CAIRO,37,36,2,11,0.0,100.0
EL DOVIO,17,17,1,9,0.0,100.0
LA CUMBRE,15,15,1,6,0.0,100.0
