municipio_ocurrencia,total_casos,semanas_datos,pico_semanal,anos_activos,carga_pct,carga_acum_pct
CALI,108888,817,834,16,64.0,64.0
PALMIRA,13019,771,304,16,7.7,71.7
TULUA,6125,707,139,16,3.6,75.3
BUGA,5184,659,79,16,3.0,78.3
CARTAGO,4994,665,63,16,2.9,81.2
YUMBO,4026,638,39,16,2.4,83.6
CANDELARIA,2811,498,73,15,1.7,85.3
FLORIDA,2747,547,40,16,1.6,86.9
BUENAVENTURA,2504,651,21,16,1.5,88.4
JAMUNDI,2069,547,24,15,1.2,89.6
LA UNION,1340,445,21,16,0.8,90.4
DAGUA,1338,494,13,16,0.8,91.2
ROLDANILLO,1218,362,42,16,0.7,91.9
EL CERRITO,1174,375,27,16,0.7,92.6
PRADERA,1100,383,16,16,0.6,93.2
ZARZAL,1092,371,26,16,0.6,93.8
GUACARI,951,365,17,16,0.6,94.4
BUGALAGRANDE,854,334,16,15,0.5,94.9
RIOFRIO,796,331,26,16,0.5,95.4
YOTOCO,794,263,20,15,0.5,95.9
CAICEDONIA,728,327,11,16,0.4,96.3
SEVILLA,652,247,23,16,0.4,96.7
GINEBRA,589,263,19,15,0.3,97.0
ANSERMANUEVO,580,263,16,16,0.3,97.3
BOLIVAR,465,237,9,12,0.3,97.6
TRUJILLO,447,248,12,16,0.3,97.9
DARIEN,426,187,18,16,0.3,98.2
ANDALUCIA,416,225,12,14,0.2,98.4
SAN PEDRO,372,209,10,15,0.2,98.6
ALCALA,364,224,9,16,0.2,98.8
TORO,349,180,9,15,0.2,99.0
VIJES,342,190,8,16,0.2,99.2
OBANDO,289,158,13,15,0.2,99.4
RESTREPO,215,148,7,16,0.1,99.5
LA VICTORIA,186,127,9,11,0.1,99.6
ARGELIA,142,64,13,10,0.1,99.7
VERSALLES,127,81,5,15,0.1,99.8
ULLOA,121,87,13,10,0.1,99.9
EL AGUILA,94,72,4,12,0.1,100.0
EL DOVIO,41,37,2,14,0.0,100.0
EL CAIRO,39,37,2,12,0.0,100.0
LA CUMBRE,36,34,2,10,0.0,100.0
